Group_no,Group,Violation_no,Infraction_and_Description,Intervention_Consequence_Option_1,Intervention_Consequence_Option_2,Intervention_Consequence_Option_3,Intervention_Consequence_Option_4,Intervention_Consequence_Option_5,Intervention_Consequence_Option_6,Intervention_Consequence_Option_7
2,Disruptive Behavior,3,Interfering with school authorities and programs through walkouts or sit-ins,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,4,Initiating or participating in any unacceptable minor physical actions,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,5,Failing to abide by school rules and regulations not otherwise listed in the SCC,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,6,"Exhibiting or publishing any profane, obscene, indecent, immoral, libelous, or offensive materials, or using such language or gestures","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,7,"Possession (physical control over, such as contained in clothing, lockers, or bags) and/or use of tobacco products, matches, or cigarette lighters","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,8,Disregard for the instructions or direction of school personnel causeing interruption to other students' participation in school activities,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,9,Failing to provide proper identification,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,10,Unauthorized use of school parking lots or other areas,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
2,Disruptive Behavior,11,Use of the CPS network for the purposes of distributing or downloading non-educational material,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,,,
3,Seriously Disruptive Behavior,1,Disruptive behavior on the school bus,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,2,Gambling–participating in games of chance or skill for money or things of value,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,3,"Fighting - physical contact between two people with intent to harm, but no injuries result","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,4,"Profane, obscene, indecent, and immoral or seriously offensive language and gestures, propositions, behavior, or harassment based on race, color, national origin, sex, gender, sexual orientation, age, religion, gender identity, gender expression or disability","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,5,Second or more documented version of a Group 1 or 2 behavior category,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,6,Any behavior not otherwise listed in Groups 1 through 3 of this SCC that seriously disrupts the educational process,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,7,Forgery – false and fraudulent making or altering of a document or the use of such a document,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,8,"Plagiarizing, cheating and/or copying the work of another student or other source","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,9,Overt display of gang affiliation,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,10,"Bullying behaviors - conduct directed towards another student that can be reasonably predicted to cause fear of physical or mental harm, harm to property, and/or interfere with student's ability to participate in school or school activities (see Anti-Bullying Policy for full definition before assigning an intervention or consequence.)","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,11,"Use of cellular telephones or other information technology device to harass, incite violence or interrupt other students' participation in school activities, including use of device to record others without persmission or unauthorized distrobution of recordings","Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,12,Inappropriately wearing any JROTC or Military Academy Uniform on or off school grounds,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
3,Seriously Disruptive Behavior,13,Use of the CPS network or any information technology device for any unauthorized purpose not otherwise listed in this SCC,"Documented Teacher, Student, Parent/Guardian, and/or Administrator Conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence.","Reccomended instructive, corrective, or restorative response (See Guidelines for Effective Discipline)","Detention - Lunch before school, after school, or saturday",Skill-building in-school suspension up to three days,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,
4,Very Seriously Disruptive Behavior,1,False activation of a fire alarm that does not cause a school facility to be evacuated or does not cause emergency services to be notified,"Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,2,"Extortion – obtaining money or information from another by coercion or intimidation","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,3,"Assault – an attempt or reasonable threat to inflict injury on someone with a show of force that would cause the victim to expect an immediate battery","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,4,"Vandalism (willful or malicious destruction or defacing of the property of others) or criminal damage to property at a cost less than $500","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,5,"Battery (unwanted bodily contact with another person without legal justification) or aiding or abetting in the commission of a battery which does not result in a physical injury","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,6,"Fighting – physical contact between more than two people with intent to harm, or physical contact between two people with intent to harm that results in injury","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,7,"Theft (unauthorized control over the physical property of another) or possession (physical control over, such as contained in clothing, lockers or bags) of stolen property that costs less than $150","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,8,"Possession, use, sale, or distribution of fireworks","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,9,Any behavior not otherwise listed in Groups 1 through 4 of this SCC that very seriously disrupts the educational process,"Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,10,[this code intentionally left blank],"Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,11,Trespassing on CPS property – entering CPS property when previously prohibited or remaining on school grounds after receiving a request to depart,"Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,12,Knowingly or intentionally using the CPS network or information technology devices to spread viruses to the CPS network,"Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,13,"Possession of any dangerous object as defined by this SCC, first documented behavior (see Reference Guide)","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,14,"Use or possession of alcohol in school or at, before, or after a school related function, documented behavior","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
4,Very Seriously Disruptive Behavior,15,"Initiating or participating in inappropriate physical contact with school personnel, such as pushing school personnel out of the way in order to physically fight with another student, with no intent to harm school personnel","Documented Teacher, Student, Parent/Guardian, and Administrator conference focused on expectation violated, cause of behavior, and strategy to prevent recurrence","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)","Detention – lunch, before school, after school, or Saturday","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension up to three days",Request for disciplinary reassignment,,
5,Most Seriously Disruptive Behavior,1,"Aggravated assault -assault with a deadly weapon or done by a person who conceals his/her identity, or any assault against school personnnel","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,2,Burglary – knowingly and without authority entering or remaining in a building or vehicle with intent to commit a felony or theft therein,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,3,"Theft (obtaining or exerting unauthorized control over) or possession (physical control over, including in clothing, lockers, or bags) of stolen property that costs more than $150","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,4,"Use of intimidation, credible threats of violence, coercion, or persistent severe bullying. Intimidation is behavior that prevents or discourages another student from exercising his/her right to education, or using force against students, school personnel and school visitors. For severe bullying, see the Anti-Bullying Policy before assigning an intervention or consequence.","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,5,[this code intentionally left blank],"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,6,Gang activity or overt displays of gang affiliation.,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,7,"Inappropriate sexual conduct, including unwelcomed sexual contact, indecent exposure, transmitting sexually suggestive images through information technology devices, or other sexual activities which do not involve the use of force","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,8,Engaging in or attempting any illegal behavior which interferes with the school’s educational process,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,9,"Persistent or severe acts of sexual harassment – unwelcome sexual or gender-based conduct (either physical or verbal) and/or conduct of a sexual nature which is sufficiently severe, persistent, or pervasive to limit a student’s ability to participate in or benefit from the educational program or which creates a hostile or abusive school environment","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,10,False activation of a fire alarm which causes a school facility to be evacuated or causes emergency services to be notified,"Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
5,Most Seriously Disruptive Behavior,11,"Second or repeated violation of Behavior 4-13, possession of any dangerous object as defined by this SCC","Skill-building in-school suspension, out-of-school suspension, or combination in-school and out-ofschool suspension for three to five days. When the suspension is assigned, create a plan for preventing future behavior incidents, restoring relationships, and addressing student needs.","Recommended instructive, corrective, or restorative response (see Guidelines for Effective Discipline)",Request for assignment to an intervention program by the Chief Executive Officer or designee,"For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For students in fifth grade or below, the principal may request an expulsion hearing at his/her discretion (except for violations of section 6-1)","For behaviors involving the improper use of the CPS network or information technology devices, revocation of network privileges indefinitely",
