Group_no,Group,Violation_no,Description,Restorative_Action_1,Restorative_Action_2,Restorative_Action_3,Restorative_Action_4,Restorative_Action_5,Restorative_Action_6,Restorative_Action_7,Restorative_Action_8,Restorative_Action_9,Consequence_1,Consequence_2,Consequence_3,Consequence_4,Consequence_5,Consequence_6,Consequence_7,Summary
2,Disruptive Behavior,4,Initiatingorparticipatinginanyunacceptable minor physical actions,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,5,Failing to abide by school rules and regulations not otherwise listed in the SCC,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,6,"Exhibitingorpublishinganyprofane,obscene, indecent, immoral, libelous, or offensive materials, or using such language or gestures",Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,7,"Possession (physical control over, such as contained in clothing, lockers, or bags) and/or use of tobacco products, matches, cigarette lighters, or rolling papers",Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,8,Defying (disobeying) the authority of school personnel,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,9,Failing to provide proper identification,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,10,Unauthorizeduseofschoolparkinglots or other areas,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,11,Use of the CPS network for the purposes of distributing or downloading non-educational material,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
2,Disruptive Behavior,12,Possession of cellular telephones or other information technology devices without prior permission of the Principal,Use student self reflection sheet,Other instructive or corrective consequence (see Additional Resources section),Documented Teacher and Student Conference focused on expectation violated and practicing expected behavior,"Teacher, Student, and Parent/Guardian Conference focused on expectation violated and practicing expected behavior",Participation in peace or healing circle with staff and peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Teacher, Student, Parent/Guardian,Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response","Referral to social skills instruction, academic tutoring, or a focused mini-course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by principal)","Teacher, Student, and Resource Person and/or Administrator Conference to identify and address cause of repeated behavior and develop strategy to address",Daily Check In/Check Out with identified staff member,Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,"Detention – before school, after school, or Saturda",In-school suspension (one to three days),"ONLY FOR REPEATINGTHESAME INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to three days total)",,"Disruptive behaviors are behaviors that would disrupt the class but not very severe. Several solutions are mainly based on mending the students and staffs’ relationship to fix the behaviors. The students are sent to detention only when the behaviors are repetitive. The accounts include minor offences like being profane, inappropriate wearing of JROTC or Military Academy uniform, gambling or disobedience."
3,Seriously Disruptive Behavior,1,"Use, possession, and/or concealment of a firearm24/destructive device or other weapon25 or “look- alikes” of weapons as defined in the Additional Resources section, or use or intent to use any other object to inflict bodily harm","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,2,Gambling–participatingingamesofchance or skill for money or things of value,"Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
3,Seriously Disruptive Behavior,3,"Fighting - physical contact between two people with intent to harm, but no injuries result","Teacher, Student, Parent/Guardian, Resource Person, and/or Administrator Conference to identify and address cause of behavior and develop strategic response",Use of short term behavioral contracts/behavioral report cards home to reinforce desired behavior,Participation in peace or healing circle with staff and/or peers impacted by behavior,"Referral to school peer jury, peer mediation or peer conferencing (if available and approved by principal)","Referral to social skill instruction, academic tutoring, or a focused mini- course to remove trigger or replace student response (if available and approved by principal)","Referral to therapeutic group if trigger or response is connected to need for anger management, trauma treatment, or other counseling (if available and approved by the principal)",,,,Daily Check In/Check Out with identified staff member,"Detention – before school, after school, or Saturday","For repeated acts of 3-9, referral to gang intervention program at a community based organization","FOR FIRST INAPPROPRIATE BEHAVIOR: in-school suspension, out-of-school suspension, or combination in-school and out-of-schoo","ONLY FOR REPEATING THE SAME INAPPROPRIATE BEHAVIOR: In-school suspension, out-of-school suspension, or combination in-school and out-of-school suspension (one to five days total) Disciplinary Reassignment by Network12",,,"Behaviors that results in serious consequences physically and mentally to others such as behaviors in the school bus, gambling, fighting, profane, forgery, plagiarization, bullying. wearing inappropriately Military uniforms and so on. This results in short term behavioral contracts, healing circle, peer jury, social skills courses. If the behaviors are repetitive, this may result in detention. First inappropriate behavior may result in in-school suspension and out-of-school suspension."
